,Ticker,Company,Title,Date,Time,Participant Name,Participant Type,Participant Organization
0,DBI,Designer Brands Inc. ,Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:07AM,Stacy Turnof ," Investor Relations, Edelman",Designer Brands Inc. 
1,DBI,Designer Brands Inc. ,Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:07AM,Roger Rawlins , Chief Executive Officer ,Designer Brands Inc. 
2,DBI,Designer Brands Inc. ,Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:07AM,Jared Poff , Chief Financial Officer,Designer Brands Inc. 
3,CHWY,"Chewy, Inc. ",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",9:44,Robert LaFleur , Vice President of Investor Relations & Capital Markets,"Chewy, Inc. "
4,CHWY,"Chewy, Inc. ",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",9:44,Sumit Singh , Chief Executive Officer,"Chewy, Inc. "
5,CHWY,"Chewy, Inc. ",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",9:44,Mario Marte , Chief Financial Officer,"Chewy, Inc. "
6,SUMO,"['Sumo Logic, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:10,Paul Thomas , IR ,"Sumo Logic, Inc. "
7,SUMO,"['Sumo Logic, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:10,Ramin Sayar , CEO,"Sumo Logic, Inc. "
8,SUMO,"['Sumo Logic, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:10,Sydney Carey , CFO,"Sumo Logic, Inc. "
9,GWRE,"[""Guidewire Software, Inc.'s ""]",Q1 2021 Results - Earnings Call Transcript,"Dec.9,2020",1:38,Alex Hughes ," Vice President, Investor Relations","Guidewire Software, Inc. "
10,GWRE,"[""Guidewire Software, Inc.'s ""]",Q1 2021 Results - Earnings Call Transcript,"Dec.9,2020",1:38,Mike Rosenbaum , Chief Executive Officer,"Guidewire Software, Inc. "
11,GWRE,"[""Guidewire Software, Inc.'s ""]",Q1 2021 Results - Earnings Call Transcript,"Dec.9,2020",1:38,Jeff Cooper , Chief Financial Officer,"Guidewire Software, Inc. "
12,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Eric Colby , Vice President of Investor Relations and Global Communications,Newmont Corporation 
13,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Tom Palmer , President and Chief Executive Officer,Newmont Corporation 
14,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Rob Atkinson , Chief Operating Officer,Newmont Corporation 
15,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Nancy Buese , Chief Financial Officer,Newmont Corporation 
16,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Randy Engel ," Executive Vice President, Strategic Development",Newmont Corporation 
17,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Dean Gehring , Executive Vice President and Chief Technology Officer,Newmont Corporation 
18,NEM,['Newmont Corporation '], Corporation (NEM) CEO Tom Palmer Hosts 2021 Investor Update Call (Transcript),"Dec.9,2020",12:35AM,Stephen Gottesfeld , Executive Vice President and Chief Sustainability Officer,Newmont Corporation 
19,MDB,"['MongoDB, Inc. ']","oDB, Inc. (MDB) CEO Dev Ittycheria on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",11:04PM,Brian Denyeau ," IR, ICR","MongoDB, Inc. "
20,MDB,"['MongoDB, Inc. ']","oDB, Inc. (MDB) CEO Dev Ittycheria on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",11:04PM,Dev Ittycheria , President & Chief Executive Officer,"MongoDB, Inc. "
21,MDB,"['MongoDB, Inc. ']","oDB, Inc. (MDB) CEO Dev Ittycheria on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",11:04PM,Michael Gordon , Chief Operating Officer & Chief Financial Officer,"MongoDB, Inc. "
22,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Jeffrey Jones ," President, CEO & Director","H&R Block, Inc. "
23,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Kirk Simpson ," CEO, Co-Founder & Director, Wave Financial Inc.","H&R Block, Inc. "
24,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Karen Orosco ," SVP, U.S. Retail Sales & Service","H&R Block, Inc. "
25,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Les Whiting , Chief Financial Services Officer,"H&R Block, Inc. "
26,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Julius Lai , Chief Product & Experience Officer,"H&R Block, Inc. "
27,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Heather Watts ," SVP, DIY Tax","H&R Block, Inc. "
28,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Tony Bowen , CFO,"H&R Block, Inc. "
29,HRB,"['H&R Block, Inc. ']","R Block, Inc. (HRB) Presents at Investor Day - (Transcript)","Dec.8,2020",10:56PM,Colby Brown , VP & Corporate Controller,"H&R Block, Inc. "
30,GME,['GameStop Corp. '],Q3 2020 Results - Earnings Call Transcript,"Dec.8,2020",10:10PM,Eric Cerny , IR,GameStop Corp. 
31,GME,['GameStop Corp. '],Q3 2020 Results - Earnings Call Transcript,"Dec.8,2020",10:10PM,George Sherman , CEO,GameStop Corp. 
32,GME,['GameStop Corp. '],Q3 2020 Results - Earnings Call Transcript,"Dec.8,2020",10:10PM,Jim Bell , EVP & CFO,GameStop Corp. 
33,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Arvind Sood ," VP, IR",Amgen Inc. 
34,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Dr. David Reese ," Executive VP, R&D",Amgen Inc. 
35,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Dr. Greg Friberg ," VP, Global Development and Oncology Therapeutic Area Head",Amgen Inc. 
